,session_start_time,intercept,stim_contrast,stim_contrast_minus_1,response_cw_minus_1,response_cw
27657,2019-09-20T13:24:23Z,1,-0.25,-1.0,1,True
27658,2019-09-20T13:24:23Z,1,0.0625,-1.0,1,True
27659,2019-09-20T13:24:23Z,1,-0.25,1.0,1,True
27660,2019-09-20T13:24:23Z,1,0.0625,-1.0,1,True
27661,2019-09-20T13:24:23Z,1,1.0,1.0,1,True
27662,2019-09-20T13:24:23Z,1,0.25,1.0,1,False
27663,2019-09-20T13:24:23Z,1,0.0,1.0,0,False
27664,2019-09-20T13:24:23Z,1,0.0,0.0,0,False
27665,2019-09-20T13:24:23Z,1,0.25,0.0,0,False
27666,2019-09-20T13:24:23Z,1,0.0,1.0,0,False
27667,2019-09-20T13:24:23Z,1,-0.0625,0.0,0,False
27668,2019-09-20T13:24:23Z,1,-0.25,-1.0,0,True
27669,2019-09-20T13:24:23Z,1,1.0,-1.0,1,False
27670,2019-09-20T13:24:23Z,1,-0.125,1.0,0,True
27671,2019-09-20T13:24:23Z,1,-1.0,-1.0,1,True
27672,2019-09-20T13:24:23Z,1,-0.25,-1.0,1,True
27673,2019-09-20T13:24:23Z,1,-0.125,-1.0,1,True
27674,2019-09-20T13:24:23Z,1,0.25,-1.0,1,True
27675,2019-09-20T13:24:23Z,1,-0.125,1.0,1,True
27676,2019-09-20T13:24:23Z,1,0.0625,-1.0,1,False
27677,2019-09-20T13:24:23Z,1,-0.0625,1.0,0,True
27678,2019-09-20T13:24:23Z,1,-0.25,-1.0,1,True
27679,2019-09-20T13:24:23Z,1,0.0625,-1.0,1,True
27680,2019-09-20T13:24:23Z,1,-0.25,1.0,1,True
27681,2019-09-20T13:24:23Z,1,-0.25,-1.0,1,True
27682,2019-09-20T13:24:23Z,1,-0.25,-1.0,1,True
27683,2019-09-20T13:24:23Z,1,-0.125,-1.0,1,True
27684,2019-09-20T13:24:23Z,1,-0.25,-1.0,1,True
27685,2019-09-20T13:24:23Z,1,1.0,-1.0,1,False
27686,2019-09-20T13:24:23Z,1,-0.0625,1.0,0,True
27687,2019-09-20T13:24:23Z,1,-0.125,-1.0,1,True
27688,2019-09-20T13:24:23Z,1,0.25,-1.0,1,False
27689,2019-09-20T13:24:23Z,1,0.0,1.0,0,True
27690,2019-09-20T13:24:23Z,1,0.125,0.0,1,True
27691,2019-09-20T13:24:23Z,1,0.125,1.0,1,False
27692,2019-09-20T13:24:23Z,1,-0.0625,1.0,0,True
27693,2019-09-20T13:24:23Z,1,-0.25,-1.0,1,True
27694,2019-09-20T13:24:23Z,1,-0.25,-1.0,1,True
27695,2019-11-04T09:46:11Z,1,0.125,-1.0,1,True
27696,2019-11-04T09:46:11Z,1,0.0,1.0,1,False
27697,2019-11-04T09:46:11Z,1,0.125,0.0,0,True
27698,2019-11-04T09:46:11Z,1,-0.125,1.0,1,True
27699,2019-11-04T09:46:11Z,1,-0.125,-1.0,1,True
27700,2019-11-04T09:46:11Z,1,0.25,-1.0,1,True
27701,2019-11-04T09:46:11Z,1,0.0,1.0,1,False
27702,2019-11-04T09:46:11Z,1,0.0,0.0,0,False
27703,2019-11-04T09:46:11Z,1,-0.0625,0.0,0,True
27704,2019-11-04T09:46:11Z,1,0.0,-1.0,1,True
27705,2019-11-04T09:46:11Z,1,0.0,0.0,1,True
27706,2019-11-04T09:46:11Z,1,0.125,0.0,1,True
27707,2019-11-04T09:46:11Z,1,-1.0,1.0,1,True
27708,2019-11-04T09:46:11Z,1,-0.0625,-1.0,1,True
27709,2019-11-04T09:46:11Z,1,-0.0625,-1.0,1,True
27710,2019-11-04T09:46:11Z,1,0.0625,-1.0,1,True
27711,2019-11-04T09:46:11Z,1,0.0,1.0,1,True
27712,2019-11-04T09:46:11Z,1,-0.0625,0.0,1,True
27713,2019-11-04T09:46:11Z,1,-0.25,-1.0,1,True
27714,2019-11-04T09:46:11Z,1,0.0,-1.0,1,True
27715,2019-11-04T09:46:11Z,1,-1.0,0.0,1,True
27716,2019-11-04T09:46:11Z,1,-1.0,-1.0,1,True
27717,2019-11-04T09:46:11Z,1,0.0,-1.0,1,True
27718,2019-11-04T09:46:11Z,1,-0.25,0.0,1,True
27719,2019-11-04T09:46:11Z,1,1.0,-1.0,1,False
27720,2019-11-04T09:46:11Z,1,-0.25,1.0,0,True
27721,2019-11-04T09:46:11Z,1,0.0,-1.0,1,False
27722,2019-11-04T09:46:11Z,1,0.0,0.0,0,True
27723,2019-11-04T09:46:11Z,1,-0.25,0.0,1,True
27724,2019-11-04T09:46:11Z,1,0.25,-1.0,1,False
27725,2019-11-04T09:46:11Z,1,1.0,1.0,0,False
27726,2019-11-04T09:46:11Z,1,-0.25,1.0,0,False
